Source IP,Destination IP,tsScore,dsScore,Connection Count,Predicted Score,Residuals,Malicious
10.11.15.101,178.63.78.150,0.11563526121364957,0.3239782052446705,33,0.2198067332291607,-6.38378239159465e-16,No
10.9.3.101,62.210.90.75,0.3639661426844015,0.20619976830258432,21,0.28508295549349516,-2.275957200481571e-15,No
10.11.11.101,51.254.218.210,0.2685701865107262,0.3954079671169861,45,0.33198907681385703,-8.881784197001252e-16,No
10.7.17.103,104.236.52.89,0.5034073695647918,0.16455729326470706,27,0.3339823314147525,-3.0531133177191805e-15,No
10.1.15.101,37.187.195.209,0.4507190380320532,0.23299622867096148,30,0.34185763335150976,-2.4424906541753444e-15,No
10.6.18.103,84.38.182.41,0.34385964912280703,0.3507446669834691,63,0.34730215805313946,-1.3877787807814457e-15,No
10.12.20.101,46.101.7.140,0.24867880920647067,0.4465548907439721,21,0.34761684997522185,-4.996003610813204e-16,No
10.1.15.101,200.75.39.254,0.5205725376031053,0.18408556951992752,33,0.3523290535615194,-2.9976021664879227e-15,No
10.12.23.101,167.99.105.11,0.15325218823655753,0.5529683378347977,27,0.3531102630356771,4.996003610813204e-16,No
10.12.28.102,104.236.52.89,0.6555633625053022,0.07361988194161229,21,0.3645916222234614,-4.163336342344337e-15,No
10.12.6.101,170.238.117.187,0.1452835635772636,0.585973377296147,21,0.36562847043670454,7.216449660063518e-16,No
10.2.21.201,80.78.253.177,0.17443583385985775,0.5696216309168876,57,0.3720287323883721,5.551115123125783e-16,No
10.12.23.101,97.120.3.198,0.465407206596634,0.3265346376235876,81,0.39597092211011276,-1.9984014443252818e-15,No
172.16.1.101,93.83.161.35,0.43783419175408067,0.36735659126738573,27,0.40259539151073487,-1.6653345369377348e-15,No
10.20.30.101,203.176.135.102,0.22039789917051933,0.5957595932464587,60,0.4080787462084885,4.996003610813204e-16,No
10.10.5.101,45.62.123.98,0.3233244350335239,0.4963718965231434,33,0.40984816577833416,-4.996003610813204e-16,No
10.12.28.102,189.34.18.252,0.7074074074074074,0.13899938071646342,36,0.4232033940619394,-3.9968028886505635e-15,No
10.12.23.102,104.236.52.89,0.6355048859934853,0.21704643793815412,21,0.42627566196582295,-3.219646771412954e-15,No
10.11.21.101,222.239.249.166,0.08763596322747984,0.7928942558092947,21,0.44026510951838516,2.1094237467877974e-15,No
10.12.29.101,82.118.225.196,0.33413765501560305,0.5484345766332929,63,0.4412861158244482,-2.220446049250313e-16,No
10.6.28.102,91.201.214.170,0.4668055571630845,0.4317078685432774,24,0.44925671285318236,-1.4432899320127035e-15,No
10.11.11.101,170.238.117.187,0.35590669676448455,0.5551537515757696,21,0.45553022417012734,-2.220446049250313e-16,No
10.6.6.104,146.185.243.146,0.433832386852521,0.48189254514271296,75,0.457862465997618,-9.992007221626409e-16,No
10.8.21.102,217.29.63.222,0.3335725364013056,0.582190242814429,24,0.4578813896078673,0.0,No
10.11.21.101,170.238.117.187,0.5238095238095238,0.3931634427517921,27,0.45848648328065983,-1.8318679906315083e-15,No
192.168.221.134,173.224.126.40,0.3210853423501642,0.5966393033364662,24,0.45886232284331513,5.551115123125783e-17,No
10.12.29.101,189.34.18.252,0.705050505050505,0.22360055634469722,45,0.4643255306976046,-3.497202527569243e-15,No
10.1.2.101,198.105.244.228,0.6466870540265035,0.28344845809141755,30,0.46506775605896344,-2.886579864025407e-15,No
172.17.1.101,74.208.125.192,0.1940714703899186,0.7365913650616497,27,0.4653314177257828,1.3322676295501878e-15,No
10.8.5.102,204.197.146.48,0.34402897806679783,0.5980631510416666,51,0.47104606455423226,0.0,No
10.7.2.101,170.238.117.187,0.46878306878306875,0.48318371875287486,27,0.47598339376797294,-1.1102230246251565e-15,No
10.11.13.102,189.226.151.198,0.1547925720255193,0.7989789761178864,42,0.47688577407170096,1.887379141862766e-15,No
10.9.21.101,95.43.57.155,0.21593856536281683,0.7432322459177928,33,0.4795854056403035,1.3322676295501878e-15,No
10.4.28.103,104.128.234.212,0.33804598380518946,0.6379349320023148,21,0.48799045790375184,2.7755575615628914e-16,No
10.18.20.97,8.208.24.139,0.3666666666666667,0.6094858356897719,27,0.4880762511782193,0.0,No
10.6.29.101,83.217.11.130,0.44459105277642746,0.5331965271014473,24,0.48889378993893806,-6.661338147750939e-16,No
10.6.26.101,176.31.200.66,0.48901234853687453,0.4898147139953542,24,0.48941353126611553,-1.1657341758564144e-15,No
192.168.122.225,83.149.127.8,0.45580008202361527,0.5251269153365119,24,0.49046349868006445,-8.881784197001252e-16,No
172.16.3.122,52.20.4.45,0.6222530903497229,0.3618989147801126,21,0.4920760025649201,-2.3869795029440866e-15,No
10.10.16.101,185.147.82.80,0.3941259267672769,0.6026982225152031,42,0.49841207464124015,-1.1102230246251565e-16,No
10.10.21.102,181.36.42.205,0.21766082555138033,0.7917711843852123,24,0.5047160049682947,1.6653345369377348e-15,No
